"Source:","/home/alaw/Arduino/Source/ECM/excel/X3V0.2/X3V0_2.sch"
"Date:","Sat 13 Jul 2019 13:20:27 AEST"
"Tool:","Eeschema 5.1.2-f72e74a~84~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","117"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","1uF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","C2","100nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","C3","1nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","C4","100nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","C5","100nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","C6","100nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","C7","47uF","Device:CP","Capacitors_Tantalum_SMD:CP_Tantalum_Case-B_EIA-3528-21_Reflow","~"
"","","C8","100nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","C9","100nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","C10","4.7uF","Device:CP","Capacitors_Tantalum_SMD:CP_Tantalum_Case-S_EIA-3216-12_Reflow","~"
"","","C12","330nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","C13","1nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","C14","10nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","C15","100nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","C16","1uF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","C17","1uF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","C18","1nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","C19","100nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","C20","47uF","Device:CP","Capacitors_Tantalum_SMD:CP_Tantalum_Case-B_EIA-3528-21_Reflow","~"
"","","C21","1.5nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","C22","100nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"","","D1","MUR805G","Device:D_ALT","TO_SOT_Packages_THT:TO-220-2_Vertical","~"
"","","D2","MM3Z3V3ST1G","Device:D_Zener_ALT","Diodes_SMD:D_SOD-323","~"
"","","D3","B340-13-F","Device:D_Schottky","Diodes_SMD:D_SMC","~"
"","","D4","RB751V-40WS","Device:D_Schottky","Diodes_SMD:D_SOD-323F","~"
"","","D5","RB751V-40WS","Device:D_Schottky","Diodes_SMD:D_SOD-323F","~"
"","","J1","Conn_2Rows-55Pins","Connector_Generic:Conn_2Rows-55Pins","Connectors:Hyundai55","~"
"","","J2","Serial","Connector_Generic:Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","~"
